sample_id,sample_type,result,detection_limit,qualifier
A1019,DUP,1.5,,
A1020,CRM,,0.02,<
A1021,BLK,,0.005,<
A1022,DUP,1.5,,
A1023,CRM,,0.02,<
A1024,BLK,,0.005,<
A1025,DUP,1.5,,
A1026,CRM,,0.02,<
A1027,BLK,,0.005,<
A1028,DUP,1.5,,
A1029,CRM,,0.02,<
A1030,BLK,,0.005,<
A1031,DUP,1.5,,
A1032,CRM,,0.02,<
A1033,BLK,,0.005,<
A1034,DUP,1.5,,
A1035,CRM,,0.02,<
A1036,BLK,,0.005,<
A1037,DUP,1.5,,
A1038,CRM,,0.02,<
A1039,BLK,,0.005,<
A1040,DUP,1.5,,
A1041,CRM,,0.02,<
A1042,BLK,,0.005,<
A1043,DUP,1.5,,
A1044,CRM,,0.02,<
A1045,BLK,,0.005,<
A1046,DUP,1.5,,
A1047,CRM,,0.02,<
A1048,BLK,,0.005,<
A1049,DUP,1.5,,
A1050,CRM,,0.02,<
A1051,BLK,,0.005,<
A1052,DUP,1.5,,
A1053,CRM,,0.02,<
A1054,BLK,,0.005,<
A1055,DUP,1.5,,
A1056,CRM,,0.02,<
A1057,BLK,,0.005,<
A1058,DUP,1.5,,
A1059,CRM,,0.02,<
A1060,BLK,,0.005,<
A1061,DUP,1.5,,
A1062,CRM,,0.02,<
A1063,BLK,,0.005,<
A1064,DUP,1.5,,
A1065,CRM,,0.02,<
A1066,BLK,,0.005,<
A1067,DUP,1.5,,
A1068,CRM,,0.02,<
A1069,BLK,,0.005,<
A1070,DUP,1.5,,
A1071,CRM,,0.02,<
A1072,BLK,,0.005,<
A1073,DUP,1.5,,
A1074,CRM,,0.02,<
A1075,BLK,,0.005,<
A1076,DUP,1.5,,
A1077,CRM,,0.02,<
A1078,BLK,,0.005,<
A1079,DUP,1.5,,
A1080,CRM,,0.02,<
A1081,BLK,,0.005,<
A1082,DUP,1.5,,
A1083,CRM,,0.02,<
A1084,BLK,,0.005,<
A1085,DUP,1.5,,
A1086,CRM,,0.02,<
A1087,BLK,,0.005,<
A1088,DUP,1.5,,
A1089,CRM,,0.02,<
A1090,BLK,,0.005,<
A1091,DUP,1.5,,
A1092,CRM,,0.02,<
A1093,BLK,,0.005,<
A1094,DUP,1.5,,
A1095,CRM,,0.02,<
A1096,BLK,,0.005,<
A1097,DUP,1.5,,
A1098,CRM,,0.02,<
A1099,BLK,,0.005,<
A1100,DUP,1.5,,
A1101,CRM,,0.02,<
A1102,BLK,,0.005,<
A1103,DUP,1.5,,
A1104,CRM,,0.02,<
A1105,BLK,,0.005,<
A1106,DUP,1.5,,
A1107,CRM,,0.02,<
A1108,BLK,,0.005,<
A1109,DUP,1.5,,
A1110,CRM,,0.02,<
A1111,BLK,,0.005,<
A1112,DUP,1.5,,
A1113,CRM,,0.02,<
A1114,BLK,,0.005,<
A1115,DUP,1.5,,
A1116,CRM,,0.02,<
A1117,BLK,,0.005,<
A1118,DUP,1.5,,
A1119,CRM,,0.02,<
A1120,BLK,,0.005,<
A1121,DUP,1.5,,
A1122,CRM,,0.02,<
A1123,BLK,,0.005,<
A1124,DUP,1.5,,
A1125,CRM,,0.02,<
A1126,BLK,,0.005,<
A1127,DUP,1.5,,
A1128,CRM,,0.02,<
A1129,BLK,,0.005,<
A1130,DUP,1.5,,
A1131,CRM,,0.02,<
A1132,BLK,,0.005,<
A1133,DUP,1.5,,
A1134,CRM,,0.02,<
A1135,BLK,,0.005,<
A1136,DUP,1.5,,
A1137,CRM,,0.02,<
A1138,BLK,,0.005,<
A1139,DUP,1.5,,
A1140,CRM,,0.02,<
A1141,BLK,,0.005,<
A1142,DUP,1.5,,
A1143,CRM,,0.02,<
A1144,BLK,,0.005,<
A1145,DUP,1.5,,
A1146,CRM,,0.02,<
A1147,BLK,,0.005,<
A1148,DUP,1.5,,
A1149,CRM,,0.02,<
A1150,BLK,,0.005,<
A1151,DUP,1.5,,
A1152,CRM,,0.02,<
A1153,BLK,,0.005,<
A1154,DUP,1.5,,
A1155,CRM,,0.02,<
A1156,BLK,,0.005,<
A1157,DUP,1.5,,
A1158,CRM,,0.02,<
A1159,BLK,,0.005,<
A1160,DUP,1.5,,
A1161,CRM,,0.02,<
A1162,BLK,,0.005,<
A1163,DUP,1.5,,
A1164,CRM,,0.02,<
A1165,BLK,,0.005,<
A1166,DUP,1.5,,
A1167,CRM,,0.02,<
A1168,BLK,,0.005,<
A1169,DUP,1.5,,
A1170,CRM,,0.02,<
A1171,BLK,,0.005,<
A1172,DUP,1.5,,
A1173,CRM,,0.02,<
A1174,BLK,,0.005,<
A1175,DUP,1.5,,
A1176,CRM,,0.02,<
A1177,BLK,,0.005,<
A1178,DUP,1.5,,
A1179,CRM,,0.02,<
A1180,BLK,,0.005,<
A1181,DUP,1.5,,
A1182,CRM,,0.02,<
A1183,BLK,,0.005,<
A1184,DUP,1.5,,
A1185,CRM,,0.02,<
A1186,BLK,,0.005,<
A1187,DUP,1.5,,
A1188,CRM,,0.02,<
A1189,BLK,,0.005,<
A1190,DUP,1.5,,
A1191,CRM,,0.02,<
A1192,BLK,,0.005,<
A1193,DUP,1.5,,
A1194,CRM,,0.02,<
A1195,BLK,,0.005,<
A1196,DUP,1.5,,
A1197,CRM,,0.02,<
A1198,BLK,,0.005,<
A1199,DUP,1.5,,
A1200,CRM,,0.02,<
A1201,BLK,,0.005,<
A1202,DUP,1.5,,
A1203,CRM,,0.02,<
A1204,BLK,,0.005,<
A1205,DUP,1.5,,
A1206,CRM,,0.02,<
A1207,BLK,,0.005,<
A1208,DUP,1.5,,
A1209,CRM,,0.02,<
A1210,BLK,,0.005,<
A1211,DUP,1.5,,
A1212,CRM,,0.02,<
A1213,BLK,,0.005,<
A1214,DUP,1.5,,
A1215,CRM,,0.02,<
A1216,BLK,,0.005,<
A1217,DUP,1.5,,
A1218,CRM,,0.02,<
A1219,BLK,,0.005,<
A1220,DUP,1.5,,
A1221,CRM,,0.02,<
A1222,BLK,,0.005,<
A1223,DUP,1.5,,
A1224,CRM,,0.02,<
A1225,BLK,,0.005,<
A1226,DUP,1.5,,
A1227,CRM,,0.02,<
A1228,BLK,,0.005,<
A1229,DUP,1.5,,
A1230,CRM,,0.02,<
A1231,BLK,,0.005,<
A1232,DUP,1.5,,
A1233,CRM,,0.02,<
A1234,BLK,,0.005,<
A1235,DUP,1.5,,
A1236,CRM,,0.02,<
A1237,BLK,,0.005,<
A1238,DUP,1.5,,
A1239,CRM,,0.02,<
A1240,BLK,,0.005,<
A1241,DUP,1.5,,
A1242,CRM,,0.02,<
A1243,BLK,,0.005,<
A1244,DUP,1.5,,
A1245,CRM,,0.02,<
A1246,BLK,,0.005,<
A1247,DUP,1.5,,
A1248,CRM,,0.02,<
A1249,BLK,,0.005,<
A1250,DUP,1.5,,
A1251,CRM,,0.02,<
A1252,BLK,,0.005,<
A1253,DUP,1.5,,
A1254,CRM,,0.02,<
A1255,BLK,,0.005,<
A1256,DUP,1.5,,
A1257,CRM,,0.02,<
A1258,BLK,,0.005,<
A1259,DUP,1.5,,
A1260,CRM,,0.02,<
A1261,BLK,,0.005,<
A1262,DUP,1.5,,
A1263,CRM,,0.02,<
A1264,BLK,,0.005,<
A1265,DUP,1.5,,
A1266,CRM,,0.02,<
A1267,BLK,,0.005,<
A1268,DUP,1.5,,
A1269,CRM,,0.02,<
A1270,BLK,,0.005,<
A1271,DUP,1.5,,
A1272,CRM,,0.02,<
A1273,BLK,,0.005,<
A1274,DUP,1.5,,
A1275,CRM,,0.02,<
A1276,BLK,,0.005,<
A1277,DUP,1.5,,
A1278,CRM,,0.02,<
A1279,BLK,,0.005,<
A1280,DUP,1.5,,
A1281,CRM,,0.02,<
A1282,BLK,,0.005,<
A1283,DUP,1.5,,
A1284,CRM,,0.02,<
A1285,BLK,,0.005,<
A1286,DUP,1.5,,
A1287,CRM,,0.02,<
A1288,BLK,,0.005,<
A1289,DUP,1.5,,
A1290,CRM,,0.02,<
A1291,BLK,,0.005,<
A1292,DUP,1.5,,
A1293,CRM,,0.02,<
A1294,BLK,,0.005,<
A1295,DUP,1.5,,
A1296,CRM,,0.02,<
A1297,BLK,,0.005,<
A1298,DUP,1.5,,
A1299,CRM,,0.02,<
A1300,BLK,,0.005,<
A1301,DUP,1.5,,
A1302,CRM,,0.02,<
A1303,BLK,,0.005,<
A1304,DUP,1.5,,
A1305,CRM,,0.02,<
A1306,BLK,,0.005,<
A1307,DUP,1.5,,
A1308,CRM,,0.02,<
A1309,BLK,,0.005,<
A1310,DUP,1.5,,
A1311,CRM,,0.02,<
A1312,BLK,,0.005,<
A1313,DUP,1.5,,
A1314,CRM,,0.02,<
A1315,BLK,,0.005,<
A1316,DUP,1.5,,
A1317,CRM,,0.02,<
A1318,BLK,,0.005,<
A1319,DUP,1.5,,
A1320,CRM,,0.02,<
A1321,BLK,,0.005,<
A1322,DUP,1.5,,
A1323,CRM,,0.02,<
A1324,BLK,,0.005,<
A1325,DUP,1.5,,
A1326,CRM,,0.02,<
A1327,BLK,,0.005,<
A1328,DUP,1.5,,
A1329,CRM,,0.02,<
A1330,BLK,,0.005,<
A1331,DUP,1.5,,
A1332,CRM,,0.02,<
A1333,BLK,,0.005,<
A1334,DUP,1.5,,
A1335,CRM,,0.02,<
A1336,BLK,,0.005,<
A1337,DUP,1.5,,
A1338,CRM,,0.02,<
A1339,BLK,,0.005,<
A1340,DUP,1.5,,
A1341,CRM,,0.02,<
A1342,BLK,,0.005,<
A1343,DUP,1.5,,
A1344,CRM,,0.02,<
A1345,BLK,,0.005,<
A1346,DUP,1.5,,
A1347,CRM,,0.02,<
A1348,BLK,,0.005,<
A1349,DUP,1.5,,
A1350,CRM,,0.02,<
A1351,BLK,,0.005,<
A1352,DUP,1.5,,
A1353,CRM,,0.02,<
A1354,BLK,,0.005,<
A1355,DUP,1.5,,
A1356,CRM,,0.02,<
A1357,BLK,,0.005,<
A1358,DUP,1.5,,
A1359,CRM,,0.02,<
A1360,BLK,,0.005,<
A1361,DUP,1.5,,
A1362,CRM,,0.02,<
A1363,BLK,,0.005,<
A1364,DUP,1.5,,
A1365,CRM,,0.02,<
A1366,BLK,,0.005,<
A1367,DUP,1.5,,
A1368,CRM,,0.02,<
A1369,BLK,,0.005,<
A1370,DUP,1.5,,
A1371,CRM,,0.02,<
A1372,BLK,,0.005,<
A1373,DUP,1.5,,
A1374,CRM,,0.02,<
A1375,BLK,,0.005,<
A1376,DUP,1.5,,
A1377,CRM,,0.02,<
A1378,BLK,,0.005,<
A1379,DUP,1.5,,
A1380,CRM,,0.02,<
A1381,BLK,,0.005,<
A1382,DUP,1.5,,
A1383,CRM,,0.02,<
A1384,BLK,,0.005,<
A1385,DUP,1.5,,
A1386,CRM,,0.02,<
A1387,BLK,,0.005,<
A1388,DUP,1.5,,
A1389,CRM,,0.02,<
A1390,BLK,,0.005,<
A1391,DUP,1.5,,
A1392,CRM,,0.02,<
A1393,BLK,,0.005,<
A1394,DUP,1.5,,
A1395,CRM,,0.02,<
A1396,BLK,,0.005,<
A1397,DUP,1.5,,
A1398,CRM,,0.02,<
A1399,BLK,,0.005,<
A1400,DUP,1.5,,
A1401,CRM,,0.02,<
A1402,BLK,,0.005,<
A1403,DUP,1.5,,
A1404,CRM,,0.02,<
A1405,BLK,,0.005,<
A1406,DUP,1.5,,
A1407,CRM,,0.02,<
A1408,BLK,,0.005,<
A1409,DUP,1.5,,
A1410,CRM,,0.02,<
A1411,BLK,,0.005,<
A1412,DUP,1.5,,
A1413,CRM,,0.02,<
A1414,BLK,,0.005,<
A1415,DUP,1.5,,
A1416,CRM,,0.02,<
A1417,BLK,,0.005,<
A1418,DUP,1.5,,
A1419,CRM,,0.02,<
A1420,BLK,,0.005,<
A1421,DUP,1.5,,
A1422,CRM,,0.02,<
A1423,BLK,,0.005,<
A1424,DUP,1.5,,
A1425,CRM,,0.02,<
A1426,BLK,,0.005,<
A1427,DUP,1.5,,
A1428,CRM,,0.02,<
A1429,BLK,,0.005,<
A1430,DUP,1.5,,
A1431,CRM,,0.02,<
A1432,BLK,,0.005,<
A1433,DUP,1.5,,
A1434,CRM,,0.02,<
A1435,BLK,,0.005,<
A1436,DUP,1.5,,
A1437,CRM,,0.02,<
A1438,BLK,,0.005,<
A1439,DUP,1.5,,
A1440,CRM,,0.02,<
A1441,BLK,,0.005,<
A1442,DUP,1.5,,
A1443,CRM,,0.02,<
A1444,BLK,,0.005,<
A1445,DUP,1.5,,
A1446,CRM,,0.02,<
A1447,BLK,,0.005,<
A1448,DUP,1.5,,
A1449,CRM,,0.02,<
A1450,BLK,,0.005,<
A1451,DUP,1.5,,
A1452,CRM,,0.02,<
A1453,BLK,,0.005,<
A1454,DUP,1.5,,
A1455,CRM,,0.02,<
A1456,BLK,,0.005,<
A1457,DUP,1.5,,
A1458,CRM,,0.02,<
A1459,BLK,,0.005,<
A1460,DUP,1.5,,
A1461,CRM,,0.02,<
A1462,BLK,,0.005,<
A1463,DUP,1.5,,
A1464,CRM,,0.02,<
A1465,BLK,,0.005,<
A1466,DUP,1.5,,
A1467,CRM,,0.02,<
A1468,BLK,,0.005,<
A1469,DUP,1.5,,
A1470,CRM,,0.02,<
A1471,BLK,,0.005,<
A1472,DUP,1.5,,
A1473,CRM,,0.02,<
A1474,BLK,,0.005,<
A1475,DUP,1.5,,
A1476,CRM,,0.02,<
A1477,BLK,,0.005,<
A1478,DUP,1.5,,
A1479,CRM,,0.02,<
A1480,BLK,,0.005,<
A1481,DUP,1.5,,
A1482,CRM,,0.02,<
A1483,BLK,,0.005,<
A1484,DUP,1.5,,
A1485,CRM,,0.02,<
A1486,BLK,,0.005,<
A1487,DUP,1.5,,
A1488,CRM,,0.02,<
A1489,BLK,,0.005,<
A1490,DUP,1.5,,
A1491,CRM,,0.02,<
A1492,BLK,,0.005,<
A1493,DUP,1.5,,
A1494,CRM,,0.02,<
A1495,BLK,,0.005,<
A1496,DUP,1.5,,
A1497,CRM,,0.02,<
A1498,BLK,,0.005,<
A1499,DUP,1.5,,
A1500,CRM,,0.02,<
A1501,BLK,,0.005,<
A1502,DUP,1.5,,
A1503,CRM,,0.02,<
A1504,BLK,,0.005,<
A1505,DUP,1.5,,
A1506,CRM,,0.02,<
A1507,BLK,,0.005,<
A1508,DUP,1.5,,
A1509,CRM,,0.02,<
A1510,BLK,,0.005,<
A1511,DUP,1.5,,
A1512,CRM,,0.02,<
A1513,BLK,,0.005,<
A1514,DUP,1.5,,
A1515,CRM,,0.02,<
A1516,BLK,,0.005,<
A1517,DUP,1.5,,
A1518,CRM,,0.02,<
A1519,BLK,,0.005,<
A1520,DUP,1.5,,
A1521,CRM,,0.02,<
A1522,BLK,,0.005,<
A1523,DUP,1.5,,
A1524,CRM,,0.02,<
A1525,BLK,,0.005,<
A1526,DUP,1.5,,
A1527,CRM,,0.02,<
A1528,BLK,,0.005,<
A1529,DUP,1.5,,
A1530,CRM,,0.02,<
A1531,BLK,,0.005,<
A1532,DUP,1.5,,
A1533,CRM,,0.02,<
A1534,BLK,,0.005,<
A1535,DUP,1.5,,
A1536,CRM,,0.02,<
A1537,BLK,,0.005,<
A1538,DUP,1.5,,
A1539,CRM,,0.02,<
A1540,BLK,,0.005,<
A1541,DUP,1.5,,
A1542,CRM,,0.02,<
A1543,BLK,,0.005,<
A1544,DUP,1.5,,
A1545,CRM,,0.02,<
A1546,BLK,,0.005,<
A1547,DUP,1.5,,
A1548,CRM,,0.02,<
A1549,BLK,,0.005,<
A1550,DUP,1.5,,
A1551,CRM,,0.02,<
A1552,BLK,,0.005,<
A1553,DUP,1.5,,
A1554,CRM,,0.02,<
A1555,BLK,,0.005,<
A1556,DUP,1.5,,
A1557,CRM,,0.02,<
A1558,BLK,,0.005,<
A1559,DUP,1.5,,
A1560,CRM,,0.02,<
A1561,BLK,,0.005,<
A1562,DUP,1.5,,
A1563,CRM,,0.02,<
A1564,BLK,,0.005,<
A1565,DUP,1.5,,
A1566,CRM,,0.02,<
A1567,BLK,,0.005,<
A1568,DUP,1.5,,
A1569,CRM,,0.02,<
A1570,BLK,,0.005,<
A1571,DUP,1.5,,
A1572,CRM,,0.02,<
A1573,BLK,,0.005,<
A1574,DUP,1.5,,
A1575,CRM,,0.02,<
A1576,BLK,,0.005,<
A1577,DUP,1.5,,
A1578,CRM,,0.02,<
A1579,BLK,,0.005,<
A1580,DUP,1.5,,
A1581,CRM,,0.02,<
A1582,BLK,,0.005,<
A1583,DUP,1.5,,
A1584,CRM,,0.02,<
A1585,BLK,,0.005,<
A1586,DUP,1.5,,
A1587,CRM,,0.02,<
A1588,BLK,,0.005,<
A1589,DUP,1.5,,
A1590,CRM,,0.02,<
A1591,BLK,,0.005,<
A1592,DUP,1.5,,
A1593,CRM,,0.02,<
A1594,BLK,,0.005,<
A1595,DUP,1.5,,
A1596,CRM,,0.02,<
A1597,BLK,,0.005,<
A1598,DUP,1.5,,
A1599,CRM,,0.02,<
A1600,BLK,,0.005,<
A1601,DUP,1.5,,
A1602,CRM,,0.02,<
A1603,BLK,,0.005,<
A1604,DUP,1.5,,
A1605,CRM,,0.02,<
A1606,BLK,,0.005,<
A1607,DUP,1.5,,
A1608,CRM,,0.02,<
A1609,BLK,,0.005,<
A1610,DUP,1.5,,
A1611,CRM,,0.02,<
A1612,BLK,,0.005,<
A1613,DUP,1.5,,
A1614,CRM,,0.02,<
A1615,BLK,,0.005,<
A1616,DUP,1.5,,
A1617,CRM,,0.02,<
A1618,BLK,,0.005,<
A1619,DUP,1.5,,
A1620,CRM,,0.02,<
A1621,BLK,,0.005,<
A1622,DUP,1.5,,
A1623,CRM,,0.02,<
A1624,BLK,,0.005,<
A1625,DUP,1.5,,
A1626,CRM,,0.02,<
A1627,BLK,,0.005,<
A1628,DUP,1.5,,
A1629,CRM,,0.02,<
A1630,BLK,,0.005,<
A1631,DUP,1.5,,
A1632,CRM,,0.02,<
A1633,BLK,,0.005,<
A1634,DUP,1.5,,
A1635,CRM,,0.02,<
A1636,BLK,,0.005,<
A1637,DUP,1.5,,
A1638,CRM,,0.02,<
A1639,BLK,,0.005,<
A1640,DUP,1.5,,
A1641,CRM,,0.02,<
A1642,BLK,,0.005,<
A1643,DUP,1.5,,
A1644,CRM,,0.02,<
A1645,BLK,,0.005,<
A1646,DUP,1.5,,
A1647,CRM,,0.02,<
A1648,BLK,,0.005,<
A1649,DUP,1.5,,
A1650,CRM,,0.02,<
A1651,BLK,,0.005,<
A1652,DUP,1.5,,
A1653,CRM,,0.02,<
A1654,BLK,,0.005,<
A1655,DUP,1.5,,
A1656,CRM,,0.02,<
A1657,BLK,,0.005,<
A1658,DUP,1.5,,
A1659,CRM,,0.02,<
A1660,BLK,,0.005,<
A1661,DUP,1.5,,
A1662,CRM,,0.02,<
A1663,BLK,,0.005,<
A1664,DUP,1.5,,
A1665,CRM,,0.02,<
A1666,BLK,,0.005,<
A1667,DUP,1.5,,
A1668,CRM,,0.02,<
A1669,BLK,,0.005,<
A1670,DUP,1.5,,
A1671,CRM,,0.02,<
A1672,BLK,,0.005,<
A1673,DUP,1.5,,
A1674,CRM,,0.02,<
A1675,BLK,,0.005,<
A1676,DUP,1.5,,
A1677,CRM,,0.02,<
A1678,BLK,,0.005,<
A1679,DUP,1.5,,
A1680,CRM,,0.02,<
A1681,BLK,,0.005,<
A1682,DUP,1.5,,
A1683,CRM,,0.02,<
A1684,BLK,,0.005,<
A1685,DUP,1.5,,
A1686,CRM,,0.02,<
A1687,BLK,,0.005,<
A1688,DUP,1.5,,
A1689,CRM,,0.02,<
A1690,BLK,,0.005,<
A1691,DUP,1.5,,
A1692,CRM,,0.02,<
A1693,BLK,,0.005,<
A1694,DUP,1.5,,
A1695,CRM,,0.02,<
A1696,BLK,,0.005,<
A1697,DUP,1.5,,
A1698,CRM,,0.02,<
A1699,BLK,,0.005,<
A1700,DUP,1.5,,
A1701,CRM,,0.02,<
A1702,BLK,,0.005,<
A1703,DUP,1.5,,
A1704,CRM,,0.02,<
A1705,BLK,,0.005,<
A1706,DUP,1.5,,
A1707,CRM,,0.02,<
A1708,BLK,,0.005,<
A1709,DUP,1.5,,
A1710,CRM,,0.02,<
A1711,BLK,,0.005,<
A1712,DUP,1.5,,
A1713,CRM,,0.02,<
A1714,BLK,,0.005,<
A1715,DUP,1.5,,
A1716,CRM,,0.02,<
A1717,BLK,,0.005,<
A1718,DUP,1.5,,
A1719,CRM,,0.02,<
A1720,BLK,,0.005,<
A1721,DUP,1.5,,
A1722,CRM,,0.02,<
A1723,BLK,,0.005,<
A1724,DUP,1.5,,
A1725,CRM,,0.02,<
A1726,BLK,,0.005,<
A1727,DUP,1.5,,
A1728,CRM,,0.02,<
A1729,BLK,,0.005,<
A1730,DUP,1.5,,
A1731,CRM,,0.02,<
A1732,BLK,,0.005,<
A1733,DUP,1.5,,
A1734,CRM,,0.02,<
A1735,BLK,,0.005,<
A1736,DUP,1.5,,
A1737,CRM,,0.02,<
A1738,BLK,,0.005,<
A1739,DUP,1.5,,
A1740,CRM,,0.02,<
A1741,BLK,,0.005,<
A1742,DUP,1.5,,
A1743,CRM,,0.02,<
A1744,BLK,,0.005,<
A1745,DUP,1.5,,
A1746,CRM,,0.02,<
A1747,BLK,,0.005,<
A1748,DUP,1.5,,
A1749,CRM,,0.02,<
A1750,BLK,,0.005,<
A1751,DUP,1.5,,
A1752,CRM,,0.02,<
A1753,BLK,,0.005,<
A1754,DUP,1.5,,
A1755,CRM,,0.02,<
A1756,BLK,,0.005,<
A1757,DUP,1.5,,
A1758,CRM,,0.02,<
A1759,BLK,,0.005,<
A1760,DUP,1.5,,
A1761,CRM,,0.02,<
A1762,BLK,,0.005,<
A1763,DUP,1.5,,
A1764,CRM,,0.02,<
A1765,BLK,,0.005,<
A1766,DUP,1.5,,
A1767,CRM,,0.02,<
A1768,BLK,,0.005,<
A1769,DUP,1.5,,
A1770,CRM,,0.02,<
A1771,BLK,,0.005,<
A1772,DUP,1.5,,
A1773,CRM,,0.02,<
A1774,BLK,,0.005,<
A1775,DUP,1.5,,
A1776,CRM,,0.02,<
A1777,BLK,,0.005,<
A1778,DUP,1.5,,
A1779,CRM,,0.02,<
A1780,BLK,,0.005,<
A1781,DUP,1.5,,
A1782,CRM,,0.02,<
A1783,BLK,,0.005,<
A1784,DUP,1.5,,
A1785,CRM,,0.02,<
A1786,BLK,,0.005,<
A1787,DUP,1.5,,
A1788,CRM,,0.02,<
A1789,BLK,,0.005,<
A1790,DUP,1.5,,
A1791,CRM,,0.02,<
A1792,BLK,,0.005,<
A1793,DUP,1.5,,
A1794,CRM,,0.02,<
A1795,BLK,,0.005,<
A1796,DUP,1.5,,
A1797,CRM,,0.02,<
A1798,BLK,,0.005,<
A1799,DUP,1.5,,
A1800,CRM,,0.02,<
A1801,BLK,,0.005,<
A1802,DUP,1.5,,
A1803,CRM,,0.02,<
A1804,BLK,,0.005,<
A1805,DUP,1.5,,
A1806,CRM,,0.02,<
A1807,BLK,,0.005,<
A1808,DUP,1.5,,
A1809,CRM,,0.02,<
A1810,BLK,,0.005,<
A1811,DUP,1.5,,
A1812,CRM,,0.02,<
A1813,BLK,,0.005,<
A1814,DUP,1.5,,
A1815,CRM,,0.02,<
A1816,BLK,,0.005,<
A1817,DUP,1.5,,
A1818,CRM,,0.02,<
A1819,BLK,,0.005,<
A1820,DUP,1.5,,
A1821,CRM,,0.02,<
A1822,BLK,,0.005,<
A1823,DUP,1.5,,
A1824,CRM,,0.02,<
A1825,BLK,,0.005,<
A1826,DUP,1.5,,
A1827,CRM,,0.02,<
A1828,BLK,,0.005,<
A1829,DUP,1.5,,
A1830,CRM,,0.02,<
A1831,BLK,,0.005,<
A1832,DUP,1.5,,
A1833,CRM,,0.02,<
A1834,BLK,,0.005,<
A1835,DUP,1.5,,
A1836,CRM,,0.02,<
A1837,BLK,,0.005,<
A1838,DUP,1.5,,
A1839,CRM,,0.02,<
A1840,BLK,,0.005,<
A1841,DUP,1.5,,
A1842,CRM,,0.02,<
A1843,BLK,,0.005,<
A1844,DUP,1.5,,
A1845,CRM,,0.02,<
A1846,BLK,,0.005,<
A1847,DUP,1.5,,
A1848,CRM,,0.02,<
A1849,BLK,,0.005,<
A1850,DUP,1.5,,
A1851,CRM,,0.02,<
A1852,BLK,,0.005,<
A1853,DUP,1.5,,
A1854,CRM,,0.02,<
A1855,BLK,,0.005,<
A1856,DUP,1.5,,
A1857,CRM,,0.02,<
A1858,BLK,,0.005,<
A1859,DUP,1.5,,
A1860,CRM,,0.02,<
A1861,BLK,,0.005,<
A1862,DUP,1.5,,
A1863,CRM,,0.02,<
A1864,BLK,,0.005,<
A1865,DUP,1.5,,
A1866,CRM,,0.02,<
A1867,BLK,,0.005,<
A1868,DUP,1.5,,
A1869,CRM,,0.02,<
A1870,BLK,,0.005,<
A1871,DUP,1.5,,
A1872,CRM,,0.02,<
A1873,BLK,,0.005,<
A1874,DUP,1.5,,
A1875,CRM,,0.02,<
A1876,BLK,,0.005,<
A1877,DUP,1.5,,
A1878,CRM,,0.02,<
A1879,BLK,,0.005,<
A1880,DUP,1.5,,
A1881,CRM,,0.02,<
A1882,BLK,,0.005,<
A1883,DUP,1.5,,
A1884,CRM,,0.02,<
A1885,BLK,,0.005,<
A1886,DUP,1.5,,
A1887,CRM,,0.02,<
A1888,BLK,,0.005,<
A1889,DUP,1.5,,
A1890,CRM,,0.02,<
A1891,BLK,,0.005,<
A1892,DUP,1.5,,
A1893,CRM,,0.02,<
A1894,BLK,,0.005,<
A1895,DUP,1.5,,
A1896,CRM,,0.02,<
A1897,BLK,,0.005,<
A1898,DUP,1.5,,
A1899,CRM,,0.02,<
A1900,BLK,,0.005,<
A1901,DUP,1.5,,
A1902,CRM,,0.02,<
A1903,BLK,,0.005,<
A1904,DUP,1.5,,
A1905,CRM,,0.02,<
A1906,BLK,,0.005,<
A1907,DUP,1.5,,
A1908,CRM,,0.02,<
A1909,BLK,,0.005,<
A1910,DUP,1.5,,
A1911,CRM,,0.02,<
A1912,BLK,,0.005,<
A1913,DUP,1.5,,
A1914,CRM,,0.02,<
A1915,BLK,,0.005,<
A1916,DUP,1.5,,
A1917,CRM,,0.02,<
A1918,BLK,,0.005,<
A1919,DUP,1.5,,
A1920,CRM,,0.02,<
A1921,BLK,,0.005,<
A1922,DUP,1.5,,
A1923,CRM,,0.02,<
A1924,BLK,,0.005,<
A1925,DUP,1.5,,
A1926,CRM,,0.02,<
A1927,BLK,,0.005,<
A1928,DUP,1.5,,
A1929,CRM,,0.02,<
A1930,BLK,,0.005,<
A1931,DUP,1.5,,
A1932,CRM,,0.02,<
A1933,BLK,,0.005,<
A1934,DUP,1.5,,
A1935,CRM,,0.02,<
A1936,BLK,,0.005,<
A1937,DUP,1.5,,
A1938,CRM,,0.02,<
A1939,BLK,,0.005,<
A1940,DUP,1.5,,
A1941,CRM,,0.02,<
A1942,BLK,,0.005,<
A1943,DUP,1.5,,
A1944,CRM,,0.02,<
A1945,BLK,,0.005,<
A1946,DUP,1.5,,
A1947,CRM,,0.02,<
A1948,BLK,,0.005,<
A1949,DUP,1.5,,
A1950,CRM,,0.02,<
A1951,BLK,,0.005,<
A1952,DUP,1.5,,
A1953,CRM,,0.02,<
A1954,BLK,,0.005,<
A1955,DUP,1.5,,
A1956,CRM,,0.02,<
A1957,BLK,,0.005,<
A1958,DUP,1.5,,
A1959,CRM,,0.02,<
A1960,BLK,,0.005,<
A1961,DUP,1.5,,
A1962,CRM,,0.02,<
A1963,BLK,,0.005,<
A1964,DUP,1.5,,
A1965,CRM,,0.02,<
A1966,BLK,,0.005,<
A1967,DUP,1.5,,
A1968,CRM,,0.02,<
A1969,BLK,,0.005,<
A1970,DUP,1.5,,
A1971,CRM,,0.02,<
