SampleID,TYPE,Value,DL
A2525,DUP,1.5,
A2526,CRM,<0.02,0.01
A2527,BLK,ND,0.005
A2528,DUP,1.5,
A2529,CRM,<0.02,0.01
A2530,BLK,ND,0.005
A2531,DUP,1.5,
A2532,CRM,<0.02,0.01
A2533,BLK,ND,0.005
A2534,DUP,1.5,
A2535,CRM,<0.02,0.01
A2536,BLK,ND,0.005
A2537,DUP,1.5,
A2538,CRM,<0.02,0.01
A2539,BLK,ND,0.005
A2540,DUP,1.5,
A2541,CRM,<0.02,0.01
A2542,BLK,ND,0.005
A2543,DUP,1.5,
A2544,CRM,<0.02,0.01
A2545,BLK,ND,0.005
A2546,DUP,1.5,
A2547,CRM,<0.02,0.01
A2548,BLK,ND,0.005
A2549,DUP,1.5,
A2550,CRM,<0.02,0.01
A2551,BLK,ND,0.005
A2552,DUP,1.5,
A2553,CRM,<0.02,0.01
A2554,BLK,ND,0.005
A2555,DUP,1.5,
A2556,CRM,<0.02,0.01
A2557,BLK,ND,0.005
A2558,DUP,1.5,
A2559,CRM,<0.02,0.01
A2560,BLK,ND,0.005
A2561,DUP,1.5,
A2562,CRM,<0.02,0.01
A2563,BLK,ND,0.005
A2564,DUP,1.5,
A2565,CRM,<0.02,0.01
A2566,BLK,ND,0.005
A2567,DUP,1.5,
A2568,CRM,<0.02,0.01
A2569,BLK,ND,0.005
A2570,DUP,1.5,
A2571,CRM,<0.02,0.01
A2572,BLK,ND,0.005
A2573,DUP,1.5,
A2574,CRM,<0.02,0.01
A2575,BLK,ND,0.005
A2576,DUP,1.5,
A2577,CRM,<0.02,0.01
A2578,BLK,ND,0.005
A2579,DUP,1.5,
A2580,CRM,<0.02,0.01
A2581,BLK,ND,0.005
A2582,DUP,1.5,
A2583,CRM,<0.02,0.01
A2584,BLK,ND,0.005
A2585,DUP,1.5,
A2586,CRM,<0.02,0.01
A2587,BLK,ND,0.005
A2588,DUP,1.5,
A2589,CRM,<0.02,0.01
A2590,BLK,ND,0.005
A2591,DUP,1.5,
A2592,CRM,<0.02,0.01
A2593,BLK,ND,0.005
A2594,DUP,1.5,
A2595,CRM,<0.02,0.01
A2596,BLK,ND,0.005
A2597,DUP,1.5,
A2598,CRM,<0.02,0.01
A2599,BLK,ND,0.005
A2600,DUP,1.5,
A2601,CRM,<0.02,0.01
A2602,BLK,ND,0.005
A2603,DUP,1.5,
A2604,CRM,<0.02,0.01
A2605,BLK,ND,0.005
A2606,DUP,1.5,
A2607,CRM,<0.02,0.01
A2608,BLK,ND,0.005
A2609,DUP,1.5,
A2610,CRM,<0.02,0.01
A2611,BLK,ND,0.005
A2612,DUP,1.5,
A2613,CRM,<0.02,0.01
A2614,BLK,ND,0.005
A2615,DUP,1.5,
A2616,CRM,<0.02,0.01
A2617,BLK,ND,0.005
A2618,DUP,1.5,
A2619,CRM,<0.02,0.01
A2620,BLK,ND,0.005
A2621,DUP,1.5,
A2622,CRM,<0.02,0.01
A2623,BLK,ND,0.005
A2624,DUP,1.5,
A2625,CRM,<0.02,0.01
A2626,BLK,ND,0.005
A2627,DUP,1.5,
A2628,CRM,<0.02,0.01
A2629,BLK,ND,0.005
A2630,DUP,1.5,
A2631,CRM,<0.02,0.01
A2632,BLK,ND,0.005
A2633,DUP,1.5,
A2634,CRM,<0.02,0.01
A2635,BLK,ND,0.005
A2636,DUP,1.5,
A2637,CRM,<0.02,0.01
A2638,BLK,ND,0.005
A2639,DUP,1.5,
A2640,CRM,<0.02,0.01
A2641,BLK,ND,0.005
A2642,DUP,1.5,
A2643,CRM,<0.02,0.01
A2644,BLK,ND,0.005
A2645,DUP,1.5,
A2646,CRM,<0.02,0.01
A2647,BLK,ND,0.005
A2648,DUP,1.5,
A2649,CRM,<0.02,0.01
A2650,BLK,ND,0.005
A2651,DUP,1.5,
A2652,CRM,<0.02,0.01
A2653,BLK,ND,0.005
A2654,DUP,1.5,
A2655,CRM,<0.02,0.01
A2656,BLK,ND,0.005
A2657,DUP,1.5,
A2658,CRM,<0.02,0.01
A2659,BLK,ND,0.005
A2660,DUP,1.5,
A2661,CRM,<0.02,0.01
A2662,BLK,ND,0.005
A2663,DUP,1.5,
A2664,CRM,<0.02,0.01
A2665,BLK,ND,0.005
A2666,DUP,1.5,
A2667,CRM,<0.02,0.01
A2668,BLK,ND,0.005
A2669,DUP,1.5,
A2670,CRM,<0.02,0.01
A2671,BLK,ND,0.005
A2672,DUP,1.5,
A2673,CRM,<0.02,0.01
A2674,BLK,ND,0.005
A2675,DUP,1.5,
A2676,CRM,<0.02,0.01
A2677,BLK,ND,0.005
A2678,DUP,1.5,
A2679,CRM,<0.02,0.01
A2680,BLK,ND,0.005
A2681,DUP,1.5,
A2682,CRM,<0.02,0.01
A2683,BLK,ND,0.005
A2684,DUP,1.5,
A2685,CRM,<0.02,0.01
A2686,BLK,ND,0.005
A2687,DUP,1.5,
A2688,CRM,<0.02,0.01
A2689,BLK,ND,0.005
A2690,DUP,1.5,
A2691,CRM,<0.02,0.01
A2692,BLK,ND,0.005
A2693,DUP,1.5,
A2694,CRM,<0.02,0.01
A2695,BLK,ND,0.005
A2696,DUP,1.5,
A2697,CRM,<0.02,0.01
A2698,BLK,ND,0.005
A2699,DUP,1.5,
A2700,CRM,<0.02,0.01
A2701,BLK,ND,0.005
A2702,DUP,1.5,
A2703,CRM,<0.02,0.01
A2704,BLK,ND,0.005
A2705,DUP,1.5,
A2706,CRM,<0.02,0.01
A2707,BLK,ND,0.005
A2708,DUP,1.5,
A2709,CRM,<0.02,0.01
A2710,BLK,ND,0.005
A2711,DUP,1.5,
A2712,CRM,<0.02,0.01
A2713,BLK,ND,0.005
A2714,DUP,1.5,
A2715,CRM,<0.02,0.01
A2716,BLK,ND,0.005
A2717,DUP,1.5,
A2718,CRM,<0.02,0.01
A2719,BLK,ND,0.005
A2720,DUP,1.5,
A2721,CRM,<0.02,0.01
A2722,BLK,ND,0.005
A2723,DUP,1.5,
A2724,CRM,<0.02,0.01
A2725,BLK,ND,0.005
A2726,DUP,1.5,
A2727,CRM,<0.02,0.01
A2728,BLK,ND,0.005
A2729,DUP,1.5,
A2730,CRM,<0.02,0.01
A2731,BLK,ND,0.005
A2732,DUP,1.5,
A2733,CRM,<0.02,0.01
A2734,BLK,ND,0.005
A2735,DUP,1.5,
A2736,CRM,<0.02,0.01
A2737,BLK,ND,0.005
A2738,DUP,1.5,
A2739,CRM,<0.02,0.01
A2740,BLK,ND,0.005
A2741,DUP,1.5,
A2742,CRM,<0.02,0.01
A2743,BLK,ND,0.005
A2744,DUP,1.5,
A2745,CRM,<0.02,0.01
A2746,BLK,ND,0.005
A2747,DUP,1.5,
A2748,CRM,<0.02,0.01
A2749,BLK,ND,0.005
A2750,DUP,1.5,
A2751,CRM,<0.02,0.01
A2752,BLK,ND,0.005
A2753,DUP,1.5,
A2754,CRM,<0.02,0.01
A2755,BLK,ND,0.005
A2756,DUP,1.5,
A2757,CRM,<0.02,0.01
A2758,BLK,ND,0.005
A2759,DUP,1.5,
A2760,CRM,<0.02,0.01
A2761,BLK,ND,0.005
A2762,DUP,1.5,
A2763,CRM,<0.02,0.01
A2764,BLK,ND,0.005
A2765,DUP,1.5,
A2766,CRM,<0.02,0.01
A2767,BLK,ND,0.005
A2768,DUP,1.5,
A2769,CRM,<0.02,0.01
A2770,BLK,ND,0.005
A2771,DUP,1.5,
A2772,CRM,<0.02,0.01
A2773,BLK,ND,0.005
A2774,DUP,1.5,
A2775,CRM,<0.02,0.01
A2776,BLK,ND,0.005
A2777,DUP,1.5,
A2778,CRM,<0.02,0.01
A2779,BLK,ND,0.005
A2780,DUP,1.5,
A2781,CRM,<0.02,0.01
A2782,BLK,ND,0.005
A2783,DUP,1.5,
A2784,CRM,<0.02,0.01
A2785,BLK,ND,0.005
A2786,DUP,1.5,
A2787,CRM,<0.02,0.01
A2788,BLK,ND,0.005
A2789,DUP,1.5,
A2790,CRM,<0.02,0.01
A2791,BLK,ND,0.005
A2792,DUP,1.5,
A2793,CRM,<0.02,0.01
A2794,BLK,ND,0.005
A2795,DUP,1.5,
A2796,CRM,<0.02,0.01
A2797,BLK,ND,0.005
A2798,DUP,1.5,
A2799,CRM,<0.02,0.01
A2800,BLK,ND,0.005
A2801,DUP,1.5,
A2802,CRM,<0.02,0.01
A2803,BLK,ND,0.005
A2804,DUP,1.5,
A2805,CRM,<0.02,0.01
A2806,BLK,ND,0.005
A2807,DUP,1.5,
A2808,CRM,<0.02,0.01
A2809,BLK,ND,0.005
A2810,DUP,1.5,
A2811,CRM,<0.02,0.01
A2812,BLK,ND,0.005
A2813,DUP,1.5,
A2814,CRM,<0.02,0.01
A2815,BLK,ND,0.005
A2816,DUP,1.5,
A2817,CRM,<0.02,0.01
A2818,BLK,ND,0.005
A2819,DUP,1.5,
A2820,CRM,<0.02,0.01
A2821,BLK,ND,0.005
A2822,DUP,1.5,
A2823,CRM,<0.02,0.01
A2824,BLK,ND,0.005
A2825,DUP,1.5,
A2826,CRM,<0.02,0.01
A2827,BLK,ND,0.005
A2828,DUP,1.5,
A2829,CRM,<0.02,0.01
A2830,BLK,ND,0.005
A2831,DUP,1.5,
A2832,CRM,<0.02,0.01
A2833,BLK,ND,0.005
A2834,DUP,1.5,
A2835,CRM,<0.02,0.01
A2836,BLK,ND,0.005
A2837,DUP,1.5,
A2838,CRM,<0.02,0.01
A2839,BLK,ND,0.005
A2840,DUP,1.5,
A2841,CRM,<0.02,0.01
A2842,BLK,ND,0.005
A2843,DUP,1.5,
A2844,CRM,<0.02,0.01
A2845,BLK,ND,0.005
A2846,DUP,1.5,
A2847,CRM,<0.02,0.01
A2848,BLK,ND,0.005
A2849,DUP,1.5,
A2850,CRM,<0.02,0.01
A2851,BLK,ND,0.005
A2852,DUP,1.5,
A2853,CRM,<0.02,0.01
A2854,BLK,ND,0.005
A2855,DUP,1.5,
A2856,CRM,<0.02,0.01
A2857,BLK,ND,0.005
A2858,DUP,1.5,
A2859,CRM,<0.02,0.01
A2860,BLK,ND,0.005
A2861,DUP,1.5,
A2862,CRM,<0.02,0.01
A2863,BLK,ND,0.005
A2864,DUP,1.5,
A2865,CRM,<0.02,0.01
A2866,BLK,ND,0.005
A2867,DUP,1.5,
A2868,CRM,<0.02,0.01
A2869,BLK,ND,0.005
A2870,DUP,1.5,
A2871,CRM,<0.02,0.01
A2872,BLK,ND,0.005
A2873,DUP,1.5,
A2874,CRM,<0.02,0.01
A2875,BLK,ND,0.005
A2876,DUP,1.5,
A2877,CRM,<0.02,0.01
A2878,BLK,ND,0.005
A2879,DUP,1.5,
A2880,CRM,<0.02,0.01
A2881,BLK,ND,0.005
A2882,DUP,1.5,
A2883,CRM,<0.02,0.01
A2884,BLK,ND,0.005
A2885,DUP,1.5,
A2886,CRM,<0.02,0.01
A2887,BLK,ND,0.005
A2888,DUP,1.5,
A2889,CRM,<0.02,0.01
A2890,BLK,ND,0.005
A2891,DUP,1.5,
A2892,CRM,<0.02,0.01
A2893,BLK,ND,0.005
A2894,DUP,1.5,
A2895,CRM,<0.02,0.01
A2896,BLK,ND,0.005
A2897,DUP,1.5,
A2898,CRM,<0.02,0.01
A2899,BLK,ND,0.005
A2900,DUP,1.5,
A2901,CRM,<0.02,0.01
A2902,BLK,ND,0.005
A2903,DUP,1.5,
A2904,CRM,<0.02,0.01
A2905,BLK,ND,0.005
A2906,DUP,1.5,
A2907,CRM,<0.02,0.01
A2908,BLK,ND,0.005
A2909,DUP,1.5,
A2910,CRM,<0.02,0.01
A2911,BLK,ND,0.005
A2912,DUP,1.5,
A2913,CRM,<0.02,0.01
A2914,BLK,ND,0.005
A2915,DUP,1.5,
A2916,CRM,<0.02,0.01
A2917,BLK,ND,0.005
A2918,DUP,1.5,
A2919,CRM,<0.02,0.01
A2920,BLK,ND,0.005
A2921,DUP,1.5,
A2922,CRM,<0.02,0.01
A2923,BLK,ND,0.005
A2924,DUP,1.5,
A2925,CRM,<0.02,0.01
A2926,BLK,ND,0.005
A2927,DUP,1.5,
A2928,CRM,<0.02,0.01
A2929,BLK,ND,0.005
A2930,DUP,1.5,
A2931,CRM,<0.02,0.01
A2932,BLK,ND,0.005
A2933,DUP,1.5,
A2934,CRM,<0.02,0.01
A2935,BLK,ND,0.005
A2936,DUP,1.5,
A2937,CRM,<0.02,0.01
A2938,BLK,ND,0.005
A2939,DUP,1.5,
A2940,CRM,<0.02,0.01
A2941,BLK,ND,0.005
A2942,DUP,1.5,
A2943,CRM,<0.02,0.01
A2944,BLK,ND,0.005
A2945,DUP,1.5,
A2946,CRM,<0.02,0.01
A2947,BLK,ND,0.005
A2948,DUP,1.5,
A2949,CRM,<0.02,0.01
A2950,BLK,ND,0.005
A2951,DUP,1.5,
A2952,CRM,<0.02,0.01
A2953,BLK,ND,0.005
A2954,DUP,1.5,
A2955,CRM,<0.02,0.01
A2956,BLK,ND,0.005
A2957,DUP,1.5,
A2958,CRM,<0.02,0.01
A2959,BLK,ND,0.005
A2960,DUP,1.5,
A2961,CRM,<0.02,0.01
A2962,BLK,ND,0.005
A2963,DUP,1.5,
A2964,CRM,<0.02,0.01
A2965,BLK,ND,0.005
A2966,DUP,1.5,
A2967,CRM,<0.02,0.01
A2968,BLK,ND,0.005
A2969,DUP,1.5,
A2970,CRM,<0.02,0.01
A2971,BLK,ND,0.005
A2972,DUP,1.5,
A2973,CRM,<0.02,0.01
A2974,BLK,ND,0.005
A2975,DUP,1.5,
A2976,CRM,<0.02,0.01
A2977,BLK,ND,0.005
A2978,DUP,1.5,
A2979,CRM,<0.02,0.01
A2980,BLK,ND,0.005
A2981,DUP,1.5,
A2982,CRM,<0.02,0.01
A2983,BLK,ND,0.005
A2984,DUP,1.5,
A2985,CRM,<0.02,0.01
A2986,BLK,ND,0.005
A2987,DUP,1.5,
A2988,CRM,<0.02,0.01
A2989,BLK,ND,0.005
A2990,DUP,1.5,
A2991,CRM,<0.02,0.01
A2992,BLK,ND,0.005
A2993,DUP,1.5,
A2994,CRM,<0.02,0.01
A2995,BLK,ND,0.005
A2996,DUP,1.5,
A2997,CRM,<0.02,0.01
A2998,BLK,ND,0.005
A2999,DUP,1.5,
A3000,CRM,<0.02,0.01
A3001,BLK,ND,0.005
A3002,DUP,1.5,
A3003,CRM,<0.02,0.01
A3004,BLK,ND,0.005
A3005,DUP,1.5,
A3006,CRM,<0.02,0.01
A3007,BLK,ND,0.005
A3008,DUP,1.5,
A3009,CRM,<0.02,0.01
A3010,BLK,ND,0.005
A3011,DUP,1.5,
A3012,CRM,<0.02,0.01
A3013,BLK,ND,0.005
A3014,DUP,1.5,
A3015,CRM,<0.02,0.01
A3016,BLK,ND,0.005
A3017,DUP,1.5,
A3018,CRM,<0.02,0.01
A3019,BLK,ND,0.005
A3020,DUP,1.5,
A3021,CRM,<0.02,0.01
A3022,BLK,ND,0.005
A3023,DUP,1.5,
A3024,CRM,<0.02,0.01
A3025,BLK,ND,0.005
A3026,DUP,1.5,
A3027,CRM,<0.02,0.01
A3028,BLK,ND,0.005
A3029,DUP,1.5,
A3030,CRM,<0.02,0.01
A3031,BLK,ND,0.005
A3032,DUP,1.5,
A3033,CRM,<0.02,0.01
A3034,BLK,ND,0.005
A3035,DUP,1.5,
A3036,CRM,<0.02,0.01
A3037,BLK,ND,0.005
A3038,DUP,1.5,
A3039,CRM,<0.02,0.01
A3040,BLK,ND,0.005
A3041,DUP,1.5,
A3042,CRM,<0.02,0.01
A3043,BLK,ND,0.005
A3044,DUP,1.5,
A3045,CRM,<0.02,0.01
A3046,BLK,ND,0.005
A3047,DUP,1.5,
A3048,CRM,<0.02,0.01
A3049,BLK,ND,0.005
A3050,DUP,1.5,
A3051,CRM,<0.02,0.01
A3052,BLK,ND,0.005
A3053,DUP,1.5,
A3054,CRM,<0.02,0.01
A3055,BLK,ND,0.005
A3056,DUP,1.5,
A3057,CRM,<0.02,0.01
A3058,BLK,ND,0.005
A3059,DUP,1.5,
A3060,CRM,<0.02,0.01
A3061,BLK,ND,0.005
A3062,DUP,1.5,
A3063,CRM,<0.02,0.01
A3064,BLK,ND,0.005
A3065,DUP,1.5,
A3066,CRM,<0.02,0.01
A3067,BLK,ND,0.005
A3068,DUP,1.5,
A3069,CRM,<0.02,0.01
A3070,BLK,ND,0.005
A3071,DUP,1.5,
A3072,CRM,<0.02,0.01
A3073,BLK,ND,0.005
A3074,DUP,1.5,
A3075,CRM,<0.02,0.01
A3076,BLK,ND,0.005
A3077,DUP,1.5,
A3078,CRM,<0.02,0.01
A3079,BLK,ND,0.005
A3080,DUP,1.5,
A3081,CRM,<0.02,0.01
A3082,BLK,ND,0.005
A3083,DUP,1.5,
A3084,CRM,<0.02,0.01
A3085,BLK,ND,0.005
A3086,DUP,1.5,
A3087,CRM,<0.02,0.01
A3088,BLK,ND,0.005
A3089,DUP,1.5,
A3090,CRM,<0.02,0.01
A3091,BLK,ND,0.005
A3092,DUP,1.5,
A3093,CRM,<0.02,0.01
A3094,BLK,ND,0.005
A3095,DUP,1.5,
A3096,CRM,<0.02,0.01
A3097,BLK,ND,0.005
A3098,DUP,1.5,
A3099,CRM,<0.02,0.01
A3100,BLK,ND,0.005
A3101,DUP,1.5,
A3102,CRM,<0.02,0.01
A3103,BLK,ND,0.005
A3104,DUP,1.5,
A3105,CRM,<0.02,0.01
A3106,BLK,ND,0.005
A3107,DUP,1.5,
A3108,CRM,<0.02,0.01
A3109,BLK,ND,0.005
A3110,DUP,1.5,
A3111,CRM,<0.02,0.01
A3112,BLK,ND,0.005
A3113,DUP,1.5,
A3114,CRM,<0.02,0.01
A3115,BLK,ND,0.005
A3116,DUP,1.5,
A3117,CRM,<0.02,0.01
A3118,BLK,ND,0.005
A3119,DUP,1.5,
A3120,CRM,<0.02,0.01
A3121,BLK,ND,0.005
A3122,DUP,1.5,
A3123,CRM,<0.02,0.01
A3124,BLK,ND,0.005
A3125,DUP,1.5,
A3126,CRM,<0.02,0.01
A3127,BLK,ND,0.005
A3128,DUP,1.5,
A3129,CRM,<0.02,0.01
A3130,BLK,ND,0.005
A3131,DUP,1.5,
A3132,CRM,<0.02,0.01
A3133,BLK,ND,0.005
A3134,DUP,1.5,
A3135,CRM,<0.02,0.01
A3136,BLK,ND,0.005
A3137,DUP,1.5,
A3138,CRM,<0.02,0.01
A3139,BLK,ND,0.005
A3140,DUP,1.5,
A3141,CRM,<0.02,0.01
A3142,BLK,ND,0.005
A3143,DUP,1.5,
A3144,CRM,<0.02,0.01
A3145,BLK,ND,0.005
A3146,DUP,1.5,
A3147,CRM,<0.02,0.01
A3148,BLK,ND,0.005
A3149,DUP,1.5,
A3150,CRM,<0.02,0.01
A3151,BLK,ND,0.005
A3152,DUP,1.5,
A3153,CRM,<0.02,0.01
A3154,BLK,ND,0.005
A3155,DUP,1.5,
A3156,CRM,<0.02,0.01
A3157,BLK,ND,0.005
A3158,DUP,1.5,
A3159,CRM,<0.02,0.01
A3160,BLK,ND,0.005
A3161,DUP,1.5,
A3162,CRM,<0.02,0.01
A3163,BLK,ND,0.005
A3164,DUP,1.5,
A3165,CRM,<0.02,0.01
A3166,BLK,ND,0.005
A3167,DUP,1.5,
A3168,CRM,<0.02,0.01
A3169,BLK,ND,0.005
A3170,DUP,1.5,
A3171,CRM,<0.02,0.01
A3172,BLK,ND,0.005
A3173,DUP,1.5,
A3174,CRM,<0.02,0.01
A3175,BLK,ND,0.005
A3176,DUP,1.5,
A3177,CRM,<0.02,0.01
A3178,BLK,ND,0.005
A3179,DUP,1.5,
A3180,CRM,<0.02,0.01
A3181,BLK,ND,0.005
A3182,DUP,1.5,
A3183,CRM,<0.02,0.01
A3184,BLK,ND,0.005
A3185,DUP,1.5,
A3186,CRM,<0.02,0.01
A3187,BLK,ND,0.005
A3188,DUP,1.5,
A3189,CRM,<0.02,0.01
A3190,BLK,ND,0.005
A3191,DUP,1.5,
A3192,CRM,<0.02,0.01
A3193,BLK,ND,0.005
A3194,DUP,1.5,
A3195,CRM,<0.02,0.01
A3196,BLK,ND,0.005
A3197,DUP,1.5,
A3198,CRM,<0.02,0.01
A3199,BLK,ND,0.005
A3200,DUP,1.5,
A3201,CRM,<0.02,0.01
A3202,BLK,ND,0.005
A3203,DUP,1.5,
A3204,CRM,<0.02,0.01
A3205,BLK,ND,0.005
A3206,DUP,1.5,
A3207,CRM,<0.02,0.01
A3208,BLK,ND,0.005
A3209,DUP,1.5,
A3210,CRM,<0.02,0.01
A3211,BLK,ND,0.005
A3212,DUP,1.5,
A3213,CRM,<0.02,0.01
A3214,BLK,ND,0.005
A3215,DUP,1.5,
A3216,CRM,<0.02,0.01
A3217,BLK,ND,0.005
A3218,DUP,1.5,
A3219,CRM,<0.02,0.01
A3220,BLK,ND,0.005
A3221,DUP,1.5,
A3222,CRM,<0.02,0.01
A3223,BLK,ND,0.005
A3224,DUP,1.5,
A3225,CRM,<0.02,0.01
A3226,BLK,ND,0.005
A3227,DUP,1.5,
A3228,CRM,<0.02,0.01
A3229,BLK,ND,0.005
A3230,DUP,1.5,
A3231,CRM,<0.02,0.01
A3232,BLK,ND,0.005
A3233,DUP,1.5,
A3234,CRM,<0.02,0.01
A3235,BLK,ND,0.005
A3236,DUP,1.5,
A3237,CRM,<0.02,0.01
A3238,BLK,ND,0.005
A3239,DUP,1.5,
A3240,CRM,<0.02,0.01
A3241,BLK,ND,0.005
A3242,DUP,1.5,
A3243,CRM,<0.02,0.01
A3244,BLK,ND,0.005
A3245,DUP,1.5,
A3246,CRM,<0.02,0.01
A3247,BLK,ND,0.005
A3248,DUP,1.5,
A3249,CRM,<0.02,0.01
A3250,BLK,ND,0.005
A3251,DUP,1.5,
A3252,CRM,<0.02,0.01
A3253,BLK,ND,0.005
A3254,DUP,1.5,
A3255,CRM,<0.02,0.01
A3256,BLK,ND,0.005
A3257,DUP,1.5,
A3258,CRM,<0.02,0.01
A3259,BLK,ND,0.005
A3260,DUP,1.5,
A3261,CRM,<0.02,0.01
A3262,BLK,ND,0.005
A3263,DUP,1.5,
A3264,CRM,<0.02,0.01
A3265,BLK,ND,0.005
A3266,DUP,1.5,
A3267,CRM,<0.02,0.01
A3268,BLK,ND,0.005
A3269,DUP,1.5,
A3270,CRM,<0.02,0.01
A3271,BLK,ND,0.005
A3272,DUP,1.5,
A3273,CRM,<0.02,0.01
A3274,BLK,ND,0.005
A3275,DUP,1.5,
A3276,CRM,<0.02,0.01
A3277,BLK,ND,0.005
A3278,DUP,1.5,
A3279,CRM,<0.02,0.01
A3280,BLK,ND,0.005
A3281,DUP,1.5,
A3282,CRM,<0.02,0.01
A3283,BLK,ND,0.005
A3284,DUP,1.5,
A3285,CRM,<0.02,0.01
A3286,BLK,ND,0.005
A3287,DUP,1.5,
A3288,CRM,<0.02,0.01
A3289,BLK,ND,0.005
A3290,DUP,1.5,
A3291,CRM,<0.02,0.01
A3292,BLK,ND,0.005
A3293,DUP,1.5,
A3294,CRM,<0.02,0.01
A3295,BLK,ND,0.005
A3296,DUP,1.5,
A3297,CRM,<0.02,0.01
A3298,BLK,ND,0.005
A3299,DUP,1.5,
A3300,CRM,<0.02,0.01
A3301,BLK,ND,0.005
A3302,DUP,1.5,
A3303,CRM,<0.02,0.01
A3304,BLK,ND,0.005
A3305,DUP,1.5,
A3306,CRM,<0.02,0.01
A3307,BLK,ND,0.005
A3308,DUP,1.5,
A3309,CRM,<0.02,0.01
A3310,BLK,ND,0.005
A3311,DUP,1.5,
A3312,CRM,<0.02,0.01
A3313,BLK,ND,0.005
A3314,DUP,1.5,
A3315,CRM,<0.02,0.01
A3316,BLK,ND,0.005
A3317,DUP,1.5,
A3318,CRM,<0.02,0.01
A3319,BLK,ND,0.005
A3320,DUP,1.5,
A3321,CRM,<0.02,0.01
A3322,BLK,ND,0.005
A3323,DUP,1.5,
A3324,CRM,<0.02,0.01
A3325,BLK,ND,0.005
A3326,DUP,1.5,
A3327,CRM,<0.02,0.01
A3328,BLK,ND,0.005
A3329,DUP,1.5,
A3330,CRM,<0.02,0.01
A3331,BLK,ND,0.005
A3332,DUP,1.5,
A3333,CRM,<0.02,0.01
A3334,BLK,ND,0.005
A3335,DUP,1.5,
A3336,CRM,<0.02,0.01
A3337,BLK,ND,0.005
A3338,DUP,1.5,
A3339,CRM,<0.02,0.01
A3340,BLK,ND,0.005
A3341,DUP,1.5,
A3342,CRM,<0.02,0.01
A3343,BLK,ND,0.005
A3344,DUP,1.5,
A3345,CRM,<0.02,0.01
A3346,BLK,ND,0.005
A3347,DUP,1.5,
A3348,CRM,<0.02,0.01
A3349,BLK,ND,0.005
A3350,DUP,1.5,
A3351,CRM,<0.02,0.01
A3352,BLK,ND,0.005
A3353,DUP,1.5,
A3354,CRM,<0.02,0.01
A3355,BLK,ND,0.005
A3356,DUP,1.5,
A3357,CRM,<0.02,0.01
A3358,BLK,ND,0.005
A3359,DUP,1.5,
A3360,CRM,<0.02,0.01
A3361,BLK,ND,0.005
A3362,DUP,1.5,
A3363,CRM,<0.02,0.01
A3364,BLK,ND,0.005
A3365,DUP,1.5,
A3366,CRM,<0.02,0.01
A3367,BLK,ND,0.005
A3368,DUP,1.5,
A3369,CRM,<0.02,0.01
A3370,BLK,ND,0.005
A3371,DUP,1.5,
A3372,CRM,<0.02,0.01
A3373,BLK,ND,0.005
A3374,DUP,1.5,
A3375,CRM,<0.02,0.01
A3376,BLK,ND,0.005
A3377,DUP,1.5,
A3378,CRM,<0.02,0.01
A3379,BLK,ND,0.005
A3380,DUP,1.5,
A3381,CRM,<0.02,0.01
A3382,BLK,ND,0.005
A3383,DUP,1.5,
A3384,CRM,<0.02,0.01
A3385,BLK,ND,0.005
A3386,DUP,1.5,
A3387,CRM,<0.02,0.01
A3388,BLK,ND,0.005
A3389,DUP,1.5,
A3390,CRM,<0.02,0.01
A3391,BLK,ND,0.005
A3392,DUP,1.5,
A3393,CRM,<0.02,0.01
A3394,BLK,ND,0.005
A3395,DUP,1.5,
A3396,CRM,<0.02,0.01
A3397,BLK,ND,0.005
A3398,DUP,1.5,
A3399,CRM,<0.02,0.01
A3400,BLK,ND,0.005
A3401,DUP,1.5,
A3402,CRM,<0.02,0.01
A3403,BLK,ND,0.005
A3404,DUP,1.5,
A3405,CRM,<0.02,0.01
A3406,BLK,ND,0.005
A3407,DUP,1.5,
A3408,CRM,<0.02,0.01
A3409,BLK,ND,0.005
A3410,DUP,1.5,
A3411,CRM,<0.02,0.01
A3412,BLK,ND,0.005
A3413,DUP,1.5,
A3414,CRM,<0.02,0.01
A3415,BLK,ND,0.005
A3416,DUP,1.5,
A3417,CRM,<0.02,0.01
A3418,BLK,ND,0.005
A3419,DUP,1.5,
A3420,CRM,<0.02,0.01
A3421,BLK,ND,0.005
A3422,DUP,1.5,
A3423,CRM,<0.02,0.01
A3424,BLK,ND,0.005
A3425,DUP,1.5,
A3426,CRM,<0.02,0.01
A3427,BLK,ND,0.005
A3428,DUP,1.5,
A3429,CRM,<0.02,0.01
A3430,BLK,ND,0.005
A3431,DUP,1.5,
A3432,CRM,<0.02,0.01
A3433,BLK,ND,0.005
A3434,DUP,1.5,
A3435,CRM,<0.02,0.01
A3436,BLK,ND,0.005
A3437,DUP,1.5,
A3438,CRM,<0.02,0.01
A3439,BLK,ND,0.005
A3440,DUP,1.5,
A3441,CRM,<0.02,0.01
A3442,BLK,ND,0.005
A3443,DUP,1.5,
A3444,CRM,<0.02,0.01
A3445,BLK,ND,0.005
A3446,DUP,1.5,
A3447,CRM,<0.02,0.01
A3448,BLK,ND,0.005
A3449,DUP,1.5,
A3450,CRM,<0.02,0.01
A3451,BLK,ND,0.005
A3452,DUP,1.5,
A3453,CRM,<0.02,0.01
A3454,BLK,ND,0.005
A3455,DUP,1.5,
A3456,CRM,<0.02,0.01
